#    L    TT             EE             TE             PP             TP          
   265   0.500225E+04   0.374996E+01   0.851533E+02   0.171708E+07   0.142153E+04
   266   0.497771E+04   0.386320E+01   0.865033E+02   0.170953E+07   0.140943E+04
   267   0.495277E+04   0.397860E+01   0.878323E+02   0.170203E+07   0.139743E+04
   268   0.492744E+04   0.409614E+01   0.891410E+02   0.169459E+07   0.138551E+04
   269   0.490171E+04   0.421582E+01   0.904272E+02   0.168720E+07   0.137369E+04
   270   0.487559E+04   0.433761E+01   0.916917E+02   0.167986E+07   0.136196E+04
   271   0.484911E+04   0.446152E+01   0.929323E+02   0.167256E+07   0.135032E+04
   272   0.482226E+04   0.458752E+01   0.941497E+02   0.166532E+07   0.133877E+04
   273   0.479506E+04   0.471558E+01   0.953426E+02   0.165813E+07   0.132731E+04
   274   0.476751E+04   0.484570E+01   0.965116E+02   0.165098E+07   0.131593E+04
   275   0.473962E+04   0.497785E+01   0.976545E+02   0.164389E+07   0.130464E+04
   276   0.471142E+04   0.511201E+01   0.987722E+02   0.163684E+07   0.129344E+04
   277   0.468290E+04   0.524817E+01   0.998632E+02   0.162984E+07   0.128232E+04
   278   0.465408E+04   0.538630E+01   0.100927E+03   0.162288E+07   0.127128E+04
   279   0.462496E+04   0.552637E+01   0.101963E+03   0.161597E+07   0.126032E+04
   280   0.459556E+04   0.566834E+01   0.102972E+03   0.160911E+07   0.124945E+04
   281   0.456588E+04   0.581221E+01   0.103953E+03   0.160229E+07   0.123866E+04
   282   0.453593E+04   0.595792E+01   0.104904E+03   0.159552E+07   0.122794E+04
   283   0.450574E+04   0.610546E+01   0.105827E+03   0.158880E+07   0.121731E+04
   284   0.447529E+04   0.625480E+01   0.106718E+03   0.158211E+07   0.120675E+04
   285   0.444461E+04   0.640589E+01   0.107580E+03   0.157547E+07   0.119626E+04
   286   0.441370E+04   0.655872E+01   0.108412E+03   0.156887E+07   0.118586E+04
   287   0.438258E+04   0.671323E+01   0.109212E+03   0.156232E+07   0.117553E+04
   288   0.435125E+04   0.686939E+01   0.109980E+03   0.155581E+07   0.116527E+04
   289   0.431972E+04   0.702717E+01   0.110717E+03   0.154934E+07   0.115508E+04
   290   0.428802E+04   0.718653E+01   0.111421E+03   0.154291E+07   0.114497E+04
   291   0.425614E+04   0.734744E+01   0.112093E+03   0.153652E+07   0.113492E+04
   292   0.422409E+04   0.750977E+01   0.112732E+03   0.153017E+07   0.112495E+04
   293   0.419189E+04   0.767360E+01   0.113338E+03   0.152386E+07   0.111505E+04
   294   0.415954E+04   0.783885E+01   0.113909E+03   0.151759E+07   0.110521E+04
   295   0.412705E+04   0.800538E+01   0.114447E+03   0.151136E+07   0.109544E+04
   296   0.409443E+04   0.817326E+01   0.114950E+03   0.150517E+07   0.108574E+04
   297   0.406168E+04   0.834234E+01   0.115417E+03   0.149902E+07   0.107610E+04
   298   0.402883E+04   0.851262E+01   0.115849E+03   0.149290E+07   0.106652E+04
   299   0.399588E+04   0.868403E+01   0.116246E+03   0.148682E+07   0.105701E+04
   300   0.396283E+04   0.885649E+01   0.116607E+03   0.148078E+07   0.104756E+04
   301   0.392971E+04   0.903009E+01   0.116933E+03   0.147477E+07   0.103818E+04
   302   0.389652E+04   0.920459E+01   0.117223E+03   0.146880E+07   0.102885E+04
   303   0.386328E+04   0.938008E+01   0.117476E+03   0.146287E+07   0.101959E+04
   304   0.383000E+04   0.955649E+01   0.117694E+03   0.145697E+07   0.101038E+04
   305   0.379668E+04   0.973374E+01   0.117876E+03   0.145110E+07   0.100124E+04
   306   0.376334E+04   0.991184E+01   0.118021E+03   0.144527E+07   0.992164E+03
   307   0.373000E+04   0.100906E+02   0.118129E+03   0.143947E+07   0.983145E+03
   308   0.369666E+04   0.102701E+02   0.118201E+03   0.143371E+07   0.974189E+03
   309   0.366332E+04   0.104503E+02   0.118236E+03   0.142798E+07   0.965295E+03
   310   0.362999E+04   0.106309E+02   0.118235E+03   0.142229E+07   0.956462E+03
   311   0.359670E+04   0.108121E+02   0.118195E+03   0.141663E+07   0.947691E+03
   312   0.356344E+04   0.109937E+02   0.118119E+03   0.141100E+07   0.938983E+03
   313   0.353024E+04   0.111757E+02   0.118006E+03   0.140541E+07   0.930336E+03
   314   0.349709E+04   0.113581E+02   0.117855E+03   0.139985E+07   0.921751E+03
   315   0.346400E+04   0.115406E+02   0.117667E+03   0.139432E+07   0.913229E+03
   316   0.343098E+04   0.117234E+02   0.117441E+03   0.138882E+07   0.904768E+03
   317   0.339806E+04   0.119062E+02   0.117179E+03   0.138336E+07   0.896370E+03
